model,estimate,conf.low,conf.high,p.value
A,-0.6846878787298822,-0.8947660761394004,-0.4746096813203641,1.6815274224101443e-10
B,-0.05255783879744276,-0.42011507404074483,0.31499939644585934,0.7792782865079064
C,-0.08640963246308456,-0.45677811502533594,0.2839588500991669,0.6474743285995509
D,-0.12147024365428197,-0.5869118789182889,0.3439713916097249,0.6089951131275694
E,-0.4216403456398139,-0.881921800355605,0.038641109075977176,0.07258633704655625
F,-0.2575052186436685,-0.5093796398296192,-0.005630797457717773,0.045093620808796635
G,0.052607869813459496,-0.26718350970597987,0.37239924933289886,0.7471288652654342
H,0.04272863415059381,-0.2871902198863259,0.37264748818751353,0.7996192115826485
I,-0.4624970994333729,-0.7340078190172179,-0.19098637984952793,8.418835654963293e-4
J,0.07988449069072691,-0.22247504283741276,0.38224402421886655,0.6045771448437263
